id,title,body,pred_department,pred_sentiment,department_confidence,sentiment_confidence,uncertainty_score,diversity_score,business_cost_score,acquisition_score,needs_review_diag,priority,risk_score,true_department,true_sentiment,reviewer_notes
175,Feedback sul soggiorno,"Soggiorno breve ma intenso. Su glutine e porzioni ci sono stati problemi, e il lato varieta e da rivedere. Nel complesso esperienza sotto le aspettative. A margine segnalo anche materasso e manutenzione, non solo l'area principale.",F&B,neg,0.6844414389859018,0.7748810930241682,0.270338733994965,0.5041847548270593,0.9337676979294984,0.4731783330314999,True,HIGH,0.6376769792949843,F&B,neg,
9,Appunti sul soggiorno,"Su lenzuola e manutenzione ci sono stati problemi, e il lato silenzio e da rivedere. Bilancio finale deludente. Oltre a questo, ho notato problemi anche su glutine e bar.",Housekeeping,neg,0.6658564809410151,0.866805920507938,0.2336687992755234,0.5382308449595781,0.9161261286417964,0.4615288788539944,True,HIGH,0.6862612864179667,Housekeeping,neg,
45,Feedback sul soggiorno,"Weekend veloce, recensione scritta a caldo. Ho trovato criticita su rumore e aria condizionata, con gestione igiene poco efficace. Bilancio finale deludente. Per correttezza, va detto che lo staff e stato gentile. Tra l'altro e uscito anche un tema su fattura e pagamento, quindi il caso tocca piu reparti.",Housekeeping,neg,0.6468722026044965,0.7479527150417953,0.3025875411768541,0.4242061703019665,0.9108767974594982,0.4607309811709167,True,HIGH,0.6337679745949827,Housekeeping,neg,
151,Feedback sul soggiorno,"Viaggio di lavoro, quindi esperienza abbastanza pratica. La parte prenotazione/navetta non ha funzionato bene, soprattutto su rapidita. Mi aspettavo una gestione migliore. Oltre a questo, ho notato problemi anche su lattosio e porzioni.",Reception,neg,0.5802057932033134,0.8068266238478166,0.3064837914744349,0.4069821417567488,0.9003027389078155,0.4553970860458052,True,HIGH,0.6780273890781567,Reception,pos,
176,Commento rapido,"Ci siamo fermati solo per un fine settimana. Ho trovato criticita su fattura e documenti, con gestione organizzazione poco efficace. Bilancio finale deludente. Per correttezza, va detto che lo staff e stato gentile. Oltre a questo, ho notato problemi anche su camera e pulizia.",Reception,neg,0.5774055134571158,0.8584750526631363,0.282059716939874,0.4329639042190004,0.9028490702048596,0.451488843776609,True,HIGH,0.7034907020485976,Reception,neg,
185,Appunti sul soggiorno - in ristorazione,"Scrivo il feedback subito dopo il checkout. Su porzioni e bar ci sono stati problemi, e il lato qualita e da rivedere. Nel complesso esperienza sotto le aspettative. Per correttezza, va detto che lo staff e stato gentile. Oltre a questo, ho notato problemi anche su check in e documenti.",F&B,neg,0.6088706816511086,0.8526280763903401,0.2692506209792756,0.3941819221555929,0.9393132513071096,0.4407425373977376,True,HIGH,0.6931325130710974,F&B,neg,
158,Qualche problema di troppo - in camera,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Per pulizia e bagno mi aspettavo molto di piu, male anche su riordino. Bilancio finale deludente. Per correttezza, comunque su altri aspetti si sono mossi bene. Si sono incrociati pure aspetti su documenti e prenotazione, da coordinare internamente. Al momento non mi sento di consigliarlo senza riserve.",Housekeeping,neg,0.6093027992402794,0.9786202753761634,0.2060384626917786,0.4404963197962863,0.922850506036289,0.419738228492033,True,HIGH,0.7535050603628913,Housekeeping,pos,
105,Valutazione generale - in camera,"Siamo stati in struttura due notti. Diversi intoppi su rumore e asciugamani; il fronte comfort e rimasto debole. Bilancio finale deludente. Per correttezza, va detto che lo staff e stato gentile. Oltre a questo, ho notato problemi anche su ristorante e colazione. Spero migliorino perche la struttura ha potenziale.",Housekeeping,neg,0.6434716031424758,0.8661347491462315,0.2451968238556463,0.3684699843829206,0.9166311494835996,0.4164656371394193,True,HIGH,0.6913114948359969,Housekeeping,neg,
66,Recensione post viaggio - sulla stanza,"Siamo stati in struttura due notti. Per doccia e pulizia mi aspettavo molto di piu, male anche su comfort. Bilancio finale deludente. Per correttezza, almeno il personale ha provato a rimediare. Si sono incrociati pure aspetti su fattura e prenotazione, da coordinare internamente. Al momento non mi sento di consigliarlo senza riserve.",Housekeeping,neg,0.6078323188820783,0.96351344696056,0.2143271170786808,0.4131077512281563,0.9221606698009368,0.4155280178679746,True,HIGH,0.7466066980093701,Housekeeping,neg,
124,Esperienza da rivedere - su check in/out,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Su check out e pagamento ci sono stati problemi, e il lato chiarezza e da rivedere. Servizio da rivedere su piu punti. Oltre a questo, ho notato problemi anche su rumore e pulizia. Spero migliorino perche la struttura ha potenziale.",Reception,neg,0.5373880447078396,0.9484782196034192,0.2570668678443706,0.3494326924880983,0.908129641467976,0.4149891699622099,True,HIGH,0.7562964146797598,Reception,neg,
110,Commento rapido,"Siamo stati in struttura due notti. Per materasso e rumore mi aspettavo molto di piu, male anche su igiene. Nel complesso esperienza sotto le aspettative. Per correttezza, una parte del servizio e stata curata. Si sono incrociati pure aspetti su glutine e colazione, da coordinare internamente.",Housekeeping,neg,0.695609520233052,0.9355857686996008,0.1844023555336735,0.4549997782588028,0.9187134884119876,0.4124438089268751,True,HIGH,0.712134884119876,Reception,neg,
172,Poteva andare meglio - sulla stanza,"Scrivo il feedback subito dopo il checkout. Per doccia e lenzuola mi aspettavo molto di piu, male anche su riordino. Bilancio finale deludente. Tra l'altro e uscito anche un tema su lattosio e menu, quindi il caso tocca piu reparti. Al momento non mi sento di consigliarlo senza riserve.",Housekeeping,neg,0.6037614191765313,0.945027138011915,0.2256057214057769,0.3819995586448004,0.9213710285643352,0.4116769340091956,True,HIGH,0.7387102856433516,Housekeeping,neg,
49,Feedback sul soggiorno,"La parte garage/prenotazione non ha funzionato bene, soprattutto su rapidita. Mi aspettavo una gestione migliore. Si sono incrociati pure aspetti su rumore e doccia, da coordinare internamente.",Reception,neg,0.6926706993408441,0.9261783396811144,0.1905754804890207,0.4249256677176181,0.9033324635205132,0.4034319332638983,True,HIGH,0.7083246352051323,Reception,neg,
112,Appunti sul soggiorno - su check in/out,"Soggiorno breve ma intenso. Per garage e fattura mi aspettavo molto di piu, male anche su assistenza. Onestamente ci sono stati troppi intoppi. A margine segnalo anche glutine e lattosio, non solo l'area principale.",Reception,neg,0.6744979386550134,0.9209471553275812,0.2022774530087026,0.4051731148715949,0.9035175129280036,0.4033941635514305,True,HIGH,0.7101751292800359,Reception,neg,
11,Sotto le aspettative - sull'accoglienza,"Weekend veloce, recensione scritta a caldo. Diversi intoppi su navetta e accoglienza; il fronte rapidita e rimasto debole. Servizio da rivedere su piu punti. Tra l'altro e uscito anche un tema su piatti e buffet, quindi il caso tocca piu reparti. Non escludo un ritorno, ma solo con miglioramenti concreti.",Reception,neg,0.6052298818914181,0.9390825943561156,0.227843761876233,0.3581208319569248,0.9060504473636994,0.4025682199979338,True,HIGH,0.7355044736369953,Reception,neg,
41,Sotto le aspettative - sulla stanza,"Scrivo il feedback subito dopo il checkout. La parte doccia/rumore non ha funzionato bene, soprattutto su silenzio. Onestamente ci sono stati troppi intoppi. Per correttezza, va detto che lo staff e stato gentile. Tra l'altro e uscito anche un tema su check in e check out, quindi il caso tocca piu reparti.",Housekeeping,neg,0.6888093158851971,0.9131529926617504,0.1990188457265262,0.3958480567318365,0.9177999200665192,0.401823823896118,True,HIGH,0.7029992006651928,Housekeeping,neg,
30,Valutazione generale - sulla stanza,"Weekend veloce, recensione scritta a caldo. Diversi intoppi su camera e rumore; il fronte igiene e rimasto debole. Servizio da rivedere su piu punti. Per correttezza, almeno il personale ha provato a rimediare. A margine segnalo anche glutine e colazione, non solo l'area principale. Al momento non mi sento di consigliarlo senza riserve.",Housekeeping,neg,0.6984876928932392,0.9397940358078962,0.1808591356494322,0.4144453475449994,0.9188464090893412,0.3985324539060841,True,HIGH,0.7134640908934128,Housekeeping,neg,
171,Poteva andare meglio - in camera,"Su pulizia e manutenzione ci sono stati problemi, e il lato riordino e da rivedere. Bilancio finale deludente. Per correttezza, una parte del servizio e stata curata. Si sono incrociati pure aspetti su check in e attesa, da coordinare internamente.",Housekeeping,neg,0.6500105939137919,0.9372822553014364,0.2063535753923859,0.358978859160041,0.919889294000538,0.3948483042443129,True,HIGH,0.7238929400053794,Housekeeping,neg,
89,Poteva andare meglio - alla reception,"Ci siamo fermati solo per un fine settimana. La parte check in/check out non ha funzionato bene, soprattutto su organizzazione. Onestamente ci sono stati troppi intoppi. A margine segnalo anche lattosio e porzioni, non solo l'area principale.",Reception,neg,0.8557707577440952,0.8356766677670144,0.1542762872444452,0.4623105270164946,0.8950739818669583,0.3948460981005627,True,HIGH,0.6257398186695843,Reception,neg,
190,Appunti sul soggiorno - sulla stanza,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Ho trovato criticita su camera e aria condizionata, con gestione igiene poco efficace. Bilancio finale deludente. Per correttezza, comunque su altri aspetti si sono mossi bene. Si sono incrociati pure aspetti su prenotazione e check out, da coordinare internamente.",Housekeeping,neg,0.7066708464296133,0.8731222166156072,0.2101034684773897,0.3507735522199385,0.9154497660832384,0.393373753121324,True,HIGH,0.6794976608323843,F&B,pos,
162,Valutazione generale,"Ho trovato criticita su garage e attesa, con gestione rapidita poco efficace. Onestamente ci sono stati troppi intoppi. Si sono incrociati pure aspetti su manutenzione e materasso, da coordinare internamente. Non escludo un ritorno, ma solo con miglioramenti concreti.",Housekeeping,neg,0.6532704782619215,0.9569865912773616,0.1948714652303584,0.3706322240516552,0.9207568649030272,0.3927767728112812,True,HIGH,0.7325686490302724,Reception,neg,
189,Sotto le aspettative - su check in/out,"Siamo stati in struttura due notti. Diversi intoppi su pagamento e check in; il fronte chiarezza e rimasto debole. Servizio da rivedere su piu punti. Per correttezza, comunque su altri aspetti si sono mossi bene. Oltre a questo, ho notato problemi anche su lenzuola e aria condizionata. Non escludo un ritorno, ma solo con miglioramenti concreti.",Reception,neg,0.6310873533461211,0.969025204233068,0.1999437212104055,0.3653069292198779,0.9068671133228804,0.3909373620357422,True,HIGH,0.7436711332288036,Reception,neg,
56,Esperienza da rivedere - alla reception,"La parte prenotazione/garage non ha funzionato bene, soprattutto su rapidita. Onestamente ci sono stati troppi intoppi. Tra l'altro e uscito anche un tema su manutenzione e materasso, quindi il caso tocca piu reparti. Al momento non mi sento di consigliarlo senza riserve.",Reception,neg,0.6898629940640876,0.9665358051104148,0.1718006004127488,0.3856424388293665,0.9053370067877616,0.3826604332127367,True,HIGH,0.728370067877618,Reception,neg,
199,Feedback sul soggiorno,"Soggiorno breve ma intenso. Per pagamento e prenotazione mi aspettavo molto di piu, male anche su rapidita. Mi aspettavo una gestione migliore. Per correttezza, almeno il personale ha provato a rimediare. Tra l'altro e uscito anche un tema su bagno e camera, quindi il caso tocca piu reparti.",Reception,neg,0.5968669424782355,0.9481399907703328,0.2274965333757158,0.2834717405406657,0.9066859129374982,0.3801269714375572,True,HIGH,0.7418591293749833,Reception,neg,
154,Appunti sul soggiorno,"Soggiorno breve ma intenso. La parte doccia/bagno non ha funzionato bene, soprattutto su intervento tecnico. Mi aspettavo una gestione migliore. Oltre a questo, ho notato problemi anche su ristorante e bar. Al momento non mi sento di consigliarlo senza riserve.",Housekeeping,neg,0.7241689055723076,0.9570036667001348,0.1594137138637787,0.3872214436679492,0.919056122267871,0.3796845144858484,True,HIGH,0.715561222678711,F&B,neg,
145,Appunti sul soggiorno - sul buffet,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Diversi intoppi su glutine e porzioni; il fronte temperature e rimasto debole. Bilancio finale deludente. Per correttezza, una parte del servizio e stata curata.",F&B,neg,0.9690078540816548,0.8439896883184863,0.0935012287999295,0.4323527389717367,0.9302553165413276,0.3625074993997513,True,HIGH,0.6025531654132764,F&B,neg,
214,Nel complesso promosso - su colazione e ristorante,"Ci siamo fermati solo per un fine settimana. Per bar e lattosio davvero bene, con qualita gestito in modo ordinato. In generale il servizio ha funzionato. Si sono incrociati pure aspetti su camera e aria condizionata, da coordinare internamente.",F&B,pos,0.5773587906439338,0.7374318300438502,0.342604689656108,0.3042442716772128,0.492598569941213,0.3610953403194604,True,LOW,0.3509856994121297,F&B,pos,
33,Commento rapido - sulla pulizia,"Weekend veloce, recensione scritta a caldo. Per rumore e lenzuola davvero bene, con igiene gestito in modo ordinato. Bilancio finale buono, tornerei. A margine segnalo anche glutine e piatti, non solo l'area principale.",Housekeeping,pos,0.429848632305603,0.9136514662218026,0.3282499507362971,0.3451444762413569,0.4602461213918086,0.3597175425189173,True,LOW,0.2524612139180853,Housekeeping,pos,
106,Commento rapido - sulla stanza,Soggiorno breve ma intenso. Diversi intoppi su rumore e lenzuola; il fronte riordino e rimasto debole. Bilancio finale deludente.,Housekeeping,neg,0.9222306147800684,0.7548562289312065,0.1614565781443624,0.3753287204543488,0.8295995642339762,0.3592468180552811,True,MEDIUM,0.5709956423397627,Housekeeping,neg,
205,Appunti sul soggiorno - sul buffet,"Weekend veloce, recensione scritta a caldo. La parte porzioni/lattosio non ha funzionato bene, soprattutto su gestione allergie. Nel complesso esperienza sotto le aspettative. Spero migliorino perche la struttura ha potenziale.",F&B,neg,0.9375440762499174,0.8260737966159352,0.1181910635670737,0.3586466263750054,0.9301504844075668,0.3527196165775519,True,HIGH,0.6015048440756687,Reception,pos,
43,Commento rapido,"Scrivo il feedback subito dopo il checkout. Per garage e navetta davvero bene, con rapidita gestito in modo ordinato. Nel complesso mi sono trovato bene. Detto questo, qualche passaggio e stato poco chiaro. Si sono incrociati pure aspetti su manutenzione e pulizia, da coordinare internamente.",Housekeeping,pos,0.620190016033221,0.8736441096999386,0.2530829371334202,0.4463085692414488,0.4587184872780074,0.3521777367947463,True,LOW,0.2371848727800736,Reception,pos,
179,Valutazione generale,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Niente da dire su pulizia e materasso, anche igiene in linea. Bilancio finale buono, tornerei. Detto questo, qualche passaggio e stato poco chiaro. A margine segnalo anche colazione e piatti, non solo l'area principale.",Housekeeping,pos,0.4912625503689973,0.9576427464078338,0.2755473516115845,0.4091071026152738,0.4554288500641487,0.3515915766032041,True,LOW,0.2042885006414869,Housekeeping,pos,
215,Recensione post viaggio,"Viaggio di lavoro, quindi esperienza abbastanza pratica. Ho apprezzato garage e check in; sul fronte rapidita il team e stato efficace. Esperienza positiva e abbastanza lineare. A margine segnalo anche bar e ristorante, non solo l'area principale. Se mantengono questo livello, ci tornerei.",Reception,pos,0.4720336899214421,0.9403926473682658,0.293786831355146,0.3780287207161714,0.4422013502418972,0.3487423019408039,True,LOW,0.2220135024189719,Reception,neg,
25,Appunti sul soggiorno,"Soggiorno breve ma intenso. Ho apprezzato navetta e pagamento; sul fronte rapidita il team e stato efficace. Nel complesso mi sono trovato bene. Detto questo, qualche passaggio e stato poco chiaro.",Housekeeping,pos,0.5036651591583238,0.9435271051573844,0.2764038678421459,0.3702864449514987,0.456203976188239,0.3405286626441703,True,LOW,0.2120397618823901,Reception,neg,
197,Appunti sul soggiorno,"Ci siamo fermati solo per un fine settimana. Ho apprezzato ristorante e buffet; sul fronte temperature il team e stato efficace. Nel complesso mi sono trovato bene. Detto questo, qualche passaggio e stato poco chiaro. Tra l'altro e uscito anche un tema su bagno e asciugamani, quindi il caso tocca piu reparti.",F&B,pos,0.6905016600494882,0.8666847367967132,0.2214068015768993,0.4291583264503319,0.4800599201622621,0.3354628827560016,True,LOW,0.2255992016226208,F&B,pos,
161,Soggiorno piacevole,"La parte fattura/documenti mi ha convinto, soprattutto per assistenza. Direi promosso, anche oltre le aspettative. Detto questo, restano margini di miglioramento. Oltre a questo, ho notato problemi anche su doccia e lenzuola. Per me esperienza complessivamente valida.",Reception,pos,0.6686001142458108,0.930547770637705,0.2004260575582421,0.4854375597834413,0.438231966689635,0.3334906900520804,True,LOW,0.1823196668963496,Reception,neg,
60,Valutazione generale - in camera,"Soggiorno breve ma intenso. Per rumore e asciugamani davvero bene, con comfort gestito in modo ordinato. Direi promosso, anche oltre le aspettative. A margine segnalo anche prenotazione e attesa, non solo l'area principale. Se mantengono questo livello, ci tornerei.",Housekeeping,pos,0.6228366935746927,0.9479356108004046,0.2146138478124513,0.4410333566739518,0.4530088129333767,0.3302186934950865,True,LOW,0.1800881293337662,Reception,pos,
187,Meglio del previsto,"Siamo stati in struttura due notti. Per lenzuola e asciugamani davvero bene, con comfort gestito in modo ordinato. Bilancio finale buono, tornerei. Direi che il soggiorno e stato centrato.",Housekeeping,pos,0.6714407166014954,0.962332555527688,0.1831133639354083,0.4783402405666694,0.4507481485814599,0.325208383853997,True,LOW,0.1574814858145982,Housekeeping,pos,
52,Buona esperienza,"Ho apprezzato pulizia e doccia; sul fronte silenzio il team e stato efficace. Bilancio finale buono, tornerei. Detto questo, in certe fasce orarie il servizio rallenta. Si sono incrociati pure aspetti su prenotazione e garage, da coordinare internamente.",Housekeeping,pos,0.65191357264904,0.9043943999147244,0.2218460137181177,0.3952215766334156,0.455620099862904,0.3206134998216643,True,LOW,0.2062009986290399,Housekeeping,pos,
32,Recensione post viaggio,"Siamo stati in struttura due notti. Niente da dire su bar e piatti, anche servizio in linea. Bilancio finale buono, tornerei. A margine segnalo anche check out e documenti, non solo l'area principale. Direi che il soggiorno e stato centrato.",Reception,pos,0.5961135982167874,0.9643458682605732,0.2197702667613197,0.4101401451886654,0.4374029876549936,0.3204077744682582,True,LOW,0.1740298765499354,Reception,pos,
